GID	Nseq	Rel.	Sel.	TP	FP	FN	TN	TPR	PPV	SPC	NPV	I-ness.	M-ness.	PC	ACC	MCC	F1	SiteNB	SiteNP	SiteLB	SiteLP	SiteTPR	SitePPV	SitePC	SiteF1	SitePCV	
United States	1	0.0015	0.0045	0.0000	0.0045	0.0015	0.9940	0.0112	0.0038	0.9955	0.9985	0.0067	0.0023	0.0028	0.9940	0.0091	0.0057	426	1185	802	2370	0.0094	0.0025	0.0019	0.0040	0.0043
China	1	0.0015	0.0006	0.0000	0.0006	0.0015	0.9979	0.0000	0.0000	0.9994	0.9985	-0.0006	-0.0015	0.0000	0.9979	0.0009	nan	426	152	802	304	0.0000	0.0000	0.0000	nan	0.0000
Japan	1	0.0015	0.0016	0.0000	0.0016	0.0015	0.9969	0.0025	0.0024	0.9984	0.9985	0.0009	0.0009	0.0012	0.9969	0.0040	0.0025	426	415	802	830	0.0047	0.0048	0.0024	0.0048	0.0048
Germany	1	0.0015	0.0009	0.0000	0.0009	0.0015	0.9976	0.0037	0.0062	0.9991	0.9985	0.0028	0.0047	0.0023	0.9976	0.0060	0.0047	426	241	802	482	0.0047	0.0083	0.0030	0.0060	0.0060
United Kingdom	1	0.0015	0.0013	0.0001	0.0012	0.0015	0.9972	0.0337	0.0396	0.9988	0.9985	0.0324	0.0381	0.0185	0.9973	0.0378	0.0364	426	341	802	682	0.0469	0.0528	0.0241	0.0497	0.0495
France	1	0.0015	0.0006	0.0000	0.0006	0.0015	0.9979	0.0000	0.0000	0.9994	0.9985	-0.0006	-0.0015	0.0000	0.9979	0.0010	nan	426	158	802	316	0.0000	0.0000	0.0000	nan	0.0000
Italy	1	0.0015	0.0007	0.0000	0.0007	0.0015	0.9977	0.0062	0.0128	0.9993	0.9985	0.0055	0.0113	0.0042	0.9978	0.0100	0.0084	426	195	802	390	0.0047	0.0103	0.0032	0.0064	0.0064
